Type	Checked?	Remedy	Position	Validation error	Text of example
E			2.3.2.8 example 7	 cvc-complex-type.3.2.2: Attribute 'vertCompress' is not allowed to appear in element 'w:eastAsianLayout'. ::: 	" <w:r>    <w:rPr>      <w:eastAsianLayout w:id=""2"" w:vert=""true"" vertCompress=""true"" />    </w:rPr>    <w:t>vertical</w:t>  </w:r> "
T			2.3.3.1 example 5	Code is using curly quotes: continuing	"<w:br w:type=""column""    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" />"
T			2.3.3.2 example 1	Code is using curly quotes: continuing	"<w:r    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:pict><w:control r:id=""rId99"" w:shapeid=""shape01""   /></w:pict></w:r>"
E			2.3.3.2 example 2	cvc-complex-type.3.2.2: Attribute 'w:id' is not allowed to appear in element 'w:control'. ::: 	" <w:control r:id=""rId5"" w:id=""CheckBox1"" w:name=""CheckBox1"""
E			2.3.3.2 example 3	cvc-complex-type.3.2.2: Attribute 'w:id' is not allowed to appear in element 'w:control'. ::: 	" <w:control r:id=""rId5"" w:id=""CheckBox1"" w:name=""CheckBox1"""
E			2.3.3.2 example 4	cvc-complex-type.3.2.2: Attribute 'w:id' is not allowed to appear in element 'w:control'. ::: 	" <w:control r:id=""rId5"" w:id=""CheckBox1"" w:name=""CheckBox1"""
E			2.3.3.22 example 2	 cvc-complex-type.4: Attribute 'leader' must appear on element 'w:ptab'. ::: 	" <w:ptab w:alignment=""center"" w:relativeTo=""margin"" />  "
T			2.3.3.22 example 3	Code is using curly quotes: continuing	"<w:ptab w:alignment=""left"" w:relativeTo=""margin""       xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" />"
E			2.3.3.29 example 2	 cvc-complex-type.3.2.2: Attribute 'w:code' is not allowed to appear in element 'w:sym'. ::: 	" <w:r>  <w:rPr>    <w:rFonts w:ascii=""Courier New"" w:hAnsi=""Courier New"" />  </w:rPr>  <w:t>This is a symbol character:</w:t>  <w:sym w:font=""Wingdings"" w:code=""F03A"" /></w:r> "
T			2.3.3.3 example 1	Code is using curly quotes: continuing	"<w:r    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:object><w:control r:id=""rId99"" w:shapeid=""shape01""   /></w:object></w:r>"
E			2.3.3.3 example 2	cvc-complex-type.3.2.2: Attribute 'w:id' is not allowed to appear in element 'w:control'. ::: 	" <w:control r:id=""rId5"" w:id=""CheckBox1"" w:name=""CheckBox1"""
E			2.3.3.3 example 3	cvc-complex-type.3.2.2: Attribute 'w:id' is not allowed to appear in element 'w:control'. ::: 	" <w:control r:id=""rId5"" w:id=""CheckBox1"" w:name=""CheckBox1"""
E			2.3.3.3 example 4	cvc-complex-type.3.2.2: Attribute 'w:id' is not allowed to appear in element 'w:control'. ::: 	" <w:control r:id=""rId5"" w:id=""CheckBox1"" w:name=""CheckBox1"""
E			2.3.3.7 example 1	 cvc-complex-type.4: Attribute 'author' must appear on element 'w:del'. ::: 	" <w:p>  <w:r>    <w:t xml:space=""preserve"">This is </w:t>  </w:r>  <w:del>    <w:r>      <w:delText>deleted text</w:delText>    </w:r>  </w:del></w:p>     "
T			2.4 example 1	"Element type ""w:left"" must be followed by either attribute specifications, "">"" or ""/>"". Nested exception: Element type ""w:left"" must be followed by either attribute specifications, "">"" or ""/>""."	" <w:tbl>  <w:tblPr>    <w:tblW w:w=""5000"" w:type=""pct""/>    <w:tblBorders>      <w:top w:val=""single"" w:sz=""4"" w:space=""0"" w:color=""auto""/>      <w:left w:val=""single"" w:sz=""4 w:space=""0"" w:color=""auto""/>      <w:bottom w:val=""single"" w:sz=""4"" w:space=""0"" w:color=""auto""/>      <w:right w:val=""single"" w:sz=""4"" w:space=""0"" w:color=""auto""/>    </w:tblBorders>  </w:tblPr>  <w:tblGrid>    <w:gridCol w:w=""10296""/>  </w:tblGrid>  <w:tr>    <w:tc>      <w:tcPr>        <w:tcW w:w=""0"" w:type=""auto""/>      </w:tcPr>      <w:p/>    </w:tc>  </w:tr></w:tbl> "
?			2.4.13 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:tr'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bookmarkStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bookmarkEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFromRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFromRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveToRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveToRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlInsRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlInsRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlDelRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlDelRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveFromRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveFromRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveToRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveToRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":tblPr}' is expected. ::: "	" <w:tbl>  …  <w:tr>    <w:tc>      <w:tcPr>        …        <w:gridSpan w:val=""2"" />      </w:tcPr>      …    </w:tc>    …  </w:tr>    <w:tr>    <w:tc>      …    </w:tc>    <w:tc>      <w:tcPr>        …        <w:gridSpan w:val=""2"" />      </w:tcPr>      …    </w:tc>  </w:tr></w:tbl> "
T			2.4.17 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
E			2.4.18 example 1	" cvc-enumeration-valid: Value 'firstColumn' is not facet-valid with respect to enumeration '[wholeTable, firstRow, lastRow, firstCol, lastCol, band1Vert, band2Vert, band1Horz, band2Horz, neCell, nwCell, seCell, swCell]'. It must be a value from the enumeration. ::: "	" <w:tblStylePr w:type=""firstColumn"">  <w:tcPr>    <w:tcBorders>      <w:insideH w:val=""double"" w:sz=""4"" w:space=""0"" w:color=""FF0000""/>    </w:tcBorders>  </w:tcPr></w:tblStylePr> "
T			2.4.18 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.4.19 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.4.20 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.4.24 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.4.27 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.4.3 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.4.30 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.4.32 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
M			2.4.33 example 3	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:fill=""C3D69B"" /> "
M			2.4.33 example 6	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:fill=""943634"" w:themeFill=""accent2""  w:themeFillShade=""BF"" /> "
M			2.4.33 example 8	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:color=""943634"" w:themeColor=""accent2""  w:themeShade=""BF"" /> "
M			2.4.33 example 9	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:color=""95B3D7"" w:themeColor=""accent2""   w:themeTint=""99"" /> "
M			2.4.34 example 3	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:fill=""C3D69B"" /> "
M			2.4.34 example 6	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:fill=""943634"" w:themeFill=""accent2""  w:themeFillShade=""BF"" /> "
M			2.4.34 example 8	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:color=""943634"" w:themeColor=""accent2""  w:themeShade=""BF"" /> "
M			2.4.34 example 9	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:color=""95B3D7"" w:themeColor=""accent2""   w:themeTint=""99"" /> "
M			2.4.35 example 3	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:fill=""C3D69B"" /> "
M			2.4.35 example 6	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:fill=""943634"" w:themeFill=""accent2""  w:themeFillShade=""BF"" /> "
M			2.4.35 example 8	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:color=""943634"" w:themeColor=""accent2""  w:themeShade=""BF"" /> "
M			2.4.35 example 9	cvc-complex-type.4: Attribute 'val' must appear on element 'w:shd'. ::: 	" <w:shd w:color=""95B3D7"" w:themeColor=""accent2""   w:themeTint=""99"" /> "
T			2.4.36 example 1	"Element type ""w:left"" must be followed by either attribute specifications, "">"" or ""/>"". Nested exception: Element type ""w:left"" must be followed by either attribute specifications, "">"" or ""/>""."	" <w:tbl>  <w:tblPr>    <w:tblW w:w=""5000"" w:type=""pct""/>    <w:tblBorders>      <w:top w:val=""single"" w:sz=""4"" w:space=""0"" w:color=""auto""/>      <w:left w:val=""single"" w:sz=""4 w:space=""0"" w:color=""auto""/>      <w:bottom w:val=""single"" w:sz=""4"" w:space=""0"" w:color=""auto""/>      <w:right w:val=""single"" w:sz=""4"" w:space=""0"" w:color=""auto""/>    </w:tblBorders>  </w:tblPr>  <w:tblGrid>    <w:gridCol w:w=""10296""/>  </w:tblGrid>  <w:tr>    <w:tc>      <w:tcPr>        <w:tcW w:w=""0"" w:type=""auto""/>      </w:tcPr>      <w:p/>    </w:tc>  </w:tr></w:tbl> "
T			2.4.4 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
E			2.4.41 example 1	"The element type ""w:tblCellSpacing"" must be terminated by the matching end-tag ""</w:tblCellSpacing>"". Nested exception: The element type ""w:tblCellSpacing"" must be terminated by the matching end-tag ""</w:tblCellSpacing>""."	" <w:tblPrEx>  <w:tblCellSpacing w:w=""144"" w:type=""dxa"">  …</w:tblPrEx> "
E			2.4.42 example 1	"The element type ""w:tblCellSpacing"" must be terminated by the matching end-tag ""</w:tblCellSpacing>"". Nested exception: The element type ""w:tblCellSpacing"" must be terminated by the matching end-tag ""</w:tblCellSpacing>""."	" <w:trPr>  <w:tblCellSpacing w:w=""144"" w:type=""dxa"">  …</w:trPr> "
E			2.4.43 example 1	"The element type ""w:tblCellSpacing"" must be terminated by the matching end-tag ""</w:tblCellSpacing>"". Nested exception: The element type ""w:tblCellSpacing"" must be terminated by the matching end-tag ""</w:tblCellSpacing>""."	" <w:tblPr>  <w:tblCellSpacing w:w=""144"" w:type=""dxa"">  …</w:tblPr> "
E			2.4.48 example 1	cvc-complex-type.3.2.2: Attribute 'w:val' is not allowed to appear in element 'w:tblInd'. ::: 	" <w:tblPr>  <w:jc w:val=""left""/>  <w:tblInd w:val=""1440"" w:type=""dxa""/></w:tblPr> "
E			2.4.48 example 2	cvc-complex-type.3.2.2: Attribute 'w:val' is not allowed to appear in element 'w:tblInd'. ::: 	" <w:tblPr>  <w:jc w:val=""right""/>  <w:tblInd w:val=""1440"" w:type=""dxa""/></w:tblPr> "
E			2.4.49 example 2	"cvc-enumeration-valid: Value 'auto' is not facet-valid with respect to enumeration '[fixed, autofit]'. It must be a value from the enumeration. ::: "	" <w:tblPr>  <w:tblLayout w:type=""auto""/></w:tblPr> "
E			2.4.50 example 2	"cvc-enumeration-valid: Value 'auto' is not facet-valid with respect to enumeration '[fixed, autofit]'. It must be a value from the enumeration. ::: "	" <w:tblPr>  <w:tblLayout w:type=""auto""/></w:tblPr> "
E			2.4.54 example 3	"cvc-enumeration-valid: Value 'column' is not facet-valid with respect to enumeration '[text, margin, page]'. It must be a value from the enumeration. ::: "	" <w:tblPr>    <w:tblpPr … w:tblpX=""1440"" w:horzAnchor=""column"" />  </w:tblPr> "
E			2.4.54 example 6	 cvc-complex-type.3.2.2: Attribute 'w:horizAnchor' is not allowed to appear in element 'w:tblpPr'. ::: 	" <w:tbl>    <w:tblPr>      <w:tblpPr … w:horizAnchor=""page"" w:tblpX=""1643""/>    </w:tblPr>    …  </w:tbl> "
E			2.4.54 example 7	 cvc-complex-type.3.2.2: Attribute 'w:horizAnchor' is not allowed to appear in element 'w:tblpPr'. ::: 	" <w:tbl>    <w:tblPr>      <w:tblpPr … w:horizAnchor=""page"" w:tblpX=""1643"" w:tblpXSpec=""left""/>    </w:tblPr>    …  </w:tbl> "
T			2.4.55 example 1	"Element type ""w:left"" must be followed by either attribute specifications, "">"" or ""/>"". Nested exception: Element type ""w:left"" must be followed by either attribute specifications, "">"" or ""/>""."	" <w:tbl>  <w:tblPr>    <w:tblW w:w=""0"" w:type=""auto""/>    <w:tblBorders>      <w:top w:val=""single"" w:sz=""4"" w:space=""0"" w:color=""auto""/>      <w:left w:val=""single"" w:sz=""4 w:space=""0"" w:color=""auto""/>      <w:bottom w:val=""single"" w:sz=""4"" w:space=""0"" w:color=""auto""/>      <w:right w:val=""single"" w:sz=""4"" w:space=""0"" w:color=""auto""/>      <w:insideH w:val=""single"" w:sz=""4"" w:space=""0"" w:color=""auto""/>      <w:insideV w:val=""single"" w:sz=""4"" w:space=""0"" w:color=""auto""/>    </w:tblBorders>  </w:tblPr>  …</w:tbl> "
T			2.4.59 example 1	Code is using curly quotes: continuing	"<w:tblPr    xmlns:ve=""http://schemas.openxmlformats.org/markup-compatibility/2006""    xmlns:o=""urn:schemas-microsoft-com:office:office""    xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships""    xmlns:m=""http://schemas.openxmlformats.org/officeDocument/2006/math""    xmlns:v=""urn:schemas-microsoft-com:vml""    xmlns:wp=""http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing""    xmlns:w10=""urn:schemas-microsoft-com:office:word""    xmlns:w=""http://schemas.openxmlformats.org/wordprocessingml/2006/main""    xmlns:cp=""http://schemas.openxmlformats.org/package/2006/metadata/core-properties""    xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:dcterms=""http://purl.org/dc/terms/""    xmlns:dcmitype=""http://purl.org/dc/dcmitype/""    xmlns:xsd=""http://www.w3.org/2001/XMLSchema""    xmlns:vt=""http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes""    xmlns:xdr=""http://schemas.openxmlformats.org/drawingml/2006/spreadsheetDrawing""    xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""    xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main""    xmlns:cdr=""http://schemas.openxmlformats.org/drawingml/2006/chartDrawing""    xmlns:s=""http://schemas.openxmlformats.org/spreadsheetml/2006/main""    xmlns:x=""temp""    xmlns:b=""temp""    xmlns:c=""temp""    xmlns:oxsd=""temp""    xmlns:wne=""http://schemas.microsoft.com/office/word/2006/wordml"" ><w:tblStyle w:val=""TestTableStyle"" /></w:tblPr>"
E			2.4.60 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:tblPrEx'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":cnfStyle, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":divId, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":gridBefore, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":gridAfter, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":wBefore, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":wAfter, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":cantSplit, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":trHeight, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":tblHeader, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":tblCellSpacing, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":jc, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":hidden, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":ins, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":del, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":trPrChange}' is expected. ::: "	" <w:tr>  <w:trPr>    <w:tblPrEx>      <w:tblW w:type=""fixed"" w:w=""1440""/>    </w:tblPrEx>  </w:trPr>  …</w:tr> "
E			2.4.61 example 1	" cvc-enumeration-valid: Value 'fixed' is not facet-valid with respect to enumeration '[nil, pct, dxa, auto]'. It must be a value from the enumeration. ::: "	" <w:tbl>  <w:tblPr>    <w:tblW w:type=""fixed"" w:w=""1440""/>  </w:tblPr>  …</w:tbl> "
E			2.4.67 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:tr'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":tblGrid}' is expected. ::: "	" <w:tbl>  <w:tblPr>    <w:tblCellMar>      <w:left w:w=""0"" w:type=""dxa""/>    </w:tblCellMar>  </w:tblPr>  <w:tr>    <w:tc>      <w:tcPr>        <w:tcMar>          <w:left w:w=""720"" w:type=""dxa""/>        </w:tcMar>      </w:tcPr>      …    </w:tc>  </w:tr></w:tbl> "
T			2.4.70 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.4.71 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.4.74 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.4.76 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
